"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","database","comparison"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-391160","R-HSA-391160","Signal regulatory protein (SIRP) family interactions",12,-0.824242272468413,-1.8421524153789,0.00260416666666667,0.234088246778602,0.229967734643129,91,"tags=33%, list=1%, signal=33%","729238/10326/653509","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-191273","R-HSA-191273","Cholesterol biosynthesis",23,-0.705993962232801,-1.82252219668965,0.00277008310249307,0.234088246778602,0.229967734643129,4053,"tags=87%, list=25%, signal=66%","64801/7108/1595/2224/3930/3422/9453/6309/4597/4598/10682/3157/50814/1718/6307/3156/6713/2222/39","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-156902","R-HSA-156902","Peptide chain elongation",88,-0.610493515046807,-2.0498842600133,0.00343642611683849,0.234088246778602,0.229967734643129,5016,"tags=85%, list=30%, signal=60%","6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/1938/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/1915/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-192823","R-HSA-192823","Viral mRNA Translation",88,-0.60018617818109,-2.01527480539515,0.00343642611683849,0.234088246778602,0.229967734643129,5077,"tags=84%, list=31%, signal=59%","25873/6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-2408557","R-HSA-2408557","Selenocysteine synthesis",91,-0.598608754752861,-1.99923283813078,0.00352112676056338,0.234088246778602,0.229967734643129,5016,"tags=82%, list=30%, signal=58%","6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/118672/6165/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/6147/60678","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-975956","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",94,-0.573852874586909,-1.91818467094135,0.00354609929078014,0.234088246778602,0.229967734643129,5016,"tags=80%, list=30%, signal=56%","6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/6134/6201/6224/2935/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/2107/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-156842","R-HSA-156842","Eukaryotic Translation Elongation",92,-0.605674799140472,-2.01536412585835,0.00364963503649635,0.234088246778602,0.229967734643129,5110,"tags=85%, list=31%, signal=59%","25873/6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/1938/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/1933/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/1937/6146/6157/6218/6202/6132/6122/1915/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72764","R-HSA-72764","Eukaryotic Translation Termination",92,-0.599466333055544,-1.99470564734492,0.00364963503649635,0.234088246778602,0.229967734643129,5016,"tags=83%, list=30%, signal=58%","6227/6167/6181/6152/6205/6231/6141/6169/6234/6154/6207/6192/6156/6134/6201/6224/2935/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/2107/6228/11224/6223/6235/6204/6217/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/327/4736/6189/6175/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-163200","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",110,-0.539223674244228,-1.8487850055505,0.00371747211895911,0.234088246778602,0.229967734643129,5524,"tags=72%, list=33%, signal=48%","4722/522/84987/4695/6392/1329/4729/4731/4709/1327/539/6341/2109/7351/10632/29796/4707/4705/4708/4726/4718/4717/25915/4724/509/1340/51300/4725/10975/4706/2108/126328/29078/80219/2110/4701/4694/7388/51079/27089/517/1350/1345/7386/7385/285521/515/51241/4715/7384/9551/521/1349/4702/4697/514/55967/9481/506/498/6390/1337/6391/27109/1351/51295/518/80224/9997/4711/10476/4714/1537/54205/4704/516/91942/7352","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72689","R-HSA-72689","Formation of a pool of free 40S subunits",101,-0.570856508277724,-1.92524691897185,0.00373134328358209,0.234088246778602,0.229967734643129,5016,"tags=79%, list=30%, signal=55%","6227/6167/6181/8664/6152/6205/6231/6141/8662/6169/6234/6154/8667/6207/6192/6156/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7311/10480/6165/6228/11224/6223/6235/6204/6217/51386/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/8668/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/27335/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72613","R-HSA-72613","Eukaryotic Translation Initiation",119,-0.551495151402439,-1.92068053416335,0.00380228136882129,0.234088246778602,0.229967734643129,5150,"tags=73%, list=31%, signal=51%","1981/25873/6227/6167/6181/8664/6152/6205/6231/6141/8662/6169/6234/6154/8667/6207/6192/6156/6134/6201/6224/6210/6160/6135/1967/6176/6233/6168/6171/6166/6139/6128/6164/7458/7311/10480/6165/6228/11224/6223/1965/6235/6204/6217/51386/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/9669/2197/6191/9349/6137/1973/6146/6157/6218/6202/6132/6122/6130/6129/8668/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/27335/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72737","R-HSA-72737","Cap-dependent Translation Initiation",119,-0.551495151402439,-1.92068053416335,0.00380228136882129,0.234088246778602,0.229967734643129,5150,"tags=73%, list=31%, signal=51%","1981/25873/6227/6167/6181/8664/6152/6205/6231/6141/8662/6169/6234/6154/8667/6207/6192/6156/6134/6201/6224/6210/6160/6135/1967/6176/6233/6168/6171/6166/6139/6128/6164/7458/7311/10480/6165/6228/11224/6223/1965/6235/6204/6217/51386/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/9669/2197/6191/9349/6137/1973/6146/6157/6218/6202/6132/6122/6130/6129/8668/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/27335/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-156827","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",111,-0.56164690492294,-1.91965823530427,0.00381679389312977,0.234088246778602,0.229967734643129,5150,"tags=77%, list=31%, signal=53%","1981/25873/6227/6167/6181/8664/6152/6205/6231/6141/8662/6169/6234/6154/8667/6207/6192/6156/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7458/7311/10480/6165/6228/11224/6223/1965/6235/6204/6217/51386/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/1973/6146/6157/6218/6202/6132/6122/6130/6129/8668/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/27335/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-1799339","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",111,-0.560643462849394,-1.91622856120966,0.00381679389312977,0.234088246778602,0.229967734643129,5016,"tags=77%, list=30%, signal=54%","6227/6167/6181/6730/6152/6205/6231/6141/6729/6169/29927/6234/6154/6207/6192/6156/6134/6201/6747/6224/6210/6160/6135/6176/6734/6233/6168/6171/6166/6139/6128/6164/7311/6185/6184/6165/6228/11224/6223/6748/10952/6235/6204/6217/6731/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/23480/6136/6229/6161/4736/6189/6175/58477/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-2408522","R-HSA-2408522","Selenoamino acid metabolism",114,-0.519662340621729,-1.79344175440296,0.00381679389312977,0.234088246778602,0.229967734643129,5079,"tags=76%, list=31%, signal=53%","25873/6227/1615/6167/6181/6152/6205/6231/6141/6169/9061/6234/6154/51520/6207/6192/6156/6134/6201/1491/6224/6210/6160/6135/6176/9521/6233/6168/7965/6171/6166/6139/6128/6164/7311/118672/6165/6228/11224/6223/6235/6204/6217/6142/9255/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/191/9060/6147/60678/4837/102724560","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72706","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",112,-0.564482041333978,-1.93561398289922,0.00384615384615385,0.234088246778602,0.229967734643129,5150,"tags=77%, list=31%, signal=53%","1981/25873/6227/6167/6181/8664/6152/6205/6231/6141/8662/6169/6234/6154/8667/6207/6192/6156/6134/6201/6224/6210/6160/6135/6176/6233/6168/6171/6166/6139/6128/6164/7458/7311/10480/6165/6228/11224/6223/1965/6235/6204/6217/51386/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/9669/2197/6191/9349/6137/1973/6146/6157/6218/6202/6132/6122/6130/6129/8668/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/27335/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-168273","R-HSA-168273","Influenza Viral RNA Transcription and Replication",132,-0.510389932092072,-1.77261304551032,0.00421940928270042,0.234088246778602,0.229967734643129,5077,"tags=68%, list=31%, signal=48%","5434/25873/6227/6167/6181/79902/2963/6152/6205/6231/6141/6169/6234/9972/6154/3320/5433/6207/6192/6156/6134/6201/6224/6210/6160/6135/9688/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/9818/6228/11224/6223/6235/6204/6217/5440/6142/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/5436/6187/6222/3921/6136/6229/6161/129401/4736/6189/23165/5441/348995/6175/81929/5435/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-168255","R-HSA-168255","Influenza Life Cycle",141,-0.511259196352577,-1.80137833435056,0.00434782608695652,0.234088246778602,0.229967734643129,5077,"tags=67%, list=31%, signal=47%","5434/25873/6227/6167/6181/79902/821/2963/6152/6205/6231/6141/6169/6234/811/9972/6154/3320/5433/6207/6192/6156/6134/6201/6224/6210/6160/6135/9688/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/9818/6228/11224/6223/3303/6235/6204/6217/5440/6142/3837/6170/6206/6143/6138/6124/6125/23521/6173/5901/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/5436/6187/6222/3921/6136/6229/6161/129401/4736/6189/23165/5441/348995/6175/81929/5435/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72766","R-HSA-72766","Translation",156,-0.52140771626074,-1.87026915284514,0.00448430493273543,0.234088246778602,0.229967734643129,5150,"tags=69%, list=31%, signal=48%","1981/1936/25873/6227/6167/6181/6730/8664/6152/6205/6231/6141/6729/8662/6169/29927/6234/6154/8667/6207/6192/6156/1938/6134/6201/6747/6224/2935/6210/6160/6135/1967/6176/6734/6233/6168/6171/6166/6139/6128/6164/7458/7311/6185/10480/6184/6165/2107/6228/11224/6223/6748/10952/1965/6235/6204/6217/51386/6731/6142/6170/6206/6143/6138/1933/6124/6125/23521/6173/6193/6188/6208/9669/2197/6191/9349/6137/1973/1937/6146/6157/6218/6202/6132/6122/1915/6130/6129/8668/6155/9045/6159/6187/6222/3921/23480/6136/6229/6161/327/4736/6189/6175/27335/58477/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-168254","R-HSA-168254","Influenza Infection",152,-0.492756965913708,-1.75322903765472,0.0045045045045045,0.234088246778602,0.229967734643129,5077,"tags=64%, list=31%, signal=45%","5434/25873/6227/6167/6181/79902/821/2963/6152/6205/6231/6141/6169/6234/811/9972/3838/6154/3320/5433/6207/6192/6156/6134/6201/6224/6210/6160/6135/9688/6176/6233/6168/6171/6166/6139/6128/6164/7311/6165/293/9818/6228/11224/6223/3303/6235/6204/6217/5440/6142/3837/6170/6206/6143/6138/6124/6125/23521/6173/5901/6193/6188/6208/2197/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/5436/6187/6222/3921/6136/6229/6161/129401/4736/6189/23165/3840/5441/348995/6175/81929/5435/6147","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-6791226","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",170,-0.470495116314148,-1.71952240581441,0.00465116279069767,0.234088246778602,0.229967734643129,5063,"tags=62%, list=31%, signal=44%","25873/6227/6167/6181/28987/83732/23481/9724/6152/10438/6205/6231/6141/6169/6234/6154/6207/6192/6156/6134/6201/9790/6224/6210/6160/6135/6176/27341/6233/6168/6171/10557/6166/6139/6128/6164/7311/6165/25926/6228/11224/6223/6235/6204/6217/90459/6142/51202/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/27042/84128/23160/6208/51118/2197/6191/9349/6137/6146/6157/6218/81875/6202/6132/10556/6122/6130/6129/57647/11102/6155/9045/6159/10885/6187/6222/3921/6136/88745/6229/23016/6161/92856/4736/705/6189/56902/6175/84916/10436/6147/84135/54555/11103/56915/10799","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-375170","R-HSA-375170","CDO in myogenesis",23,0.72228978834153,1.68235354059797,0.0046801872074883,0.234088246778602,0.229967734643129,1114,"tags=22%, list=7%, signal=20%","1013/91653/6925/100271849/1002","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-525793","R-HSA-525793","Myogenesis",23,0.72228978834153,1.68235354059797,0.0046801872074883,0.234088246778602,0.229967734643129,1114,"tags=22%, list=7%, signal=20%","1013/91653/6925/100271849/1002","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-975110","R-HSA-975110","TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling",14,0.805669124656456,1.71392252714938,0.0048780487804878,0.234088246778602,0.229967734643129,144,"tags=14%, list=1%, signal=14%","54106/51284","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-8868773","R-HSA-8868773","rRNA processing in the nucleus and cytosol",181,-0.472422802967109,-1.72945931542848,0.00497512437810945,0.234088246778602,0.229967734643129,5063,"tags=63%, list=31%, signal=44%","115939/25873/6227/6167/6181/28987/83732/23481/9724/6152/10438/6205/6231/6141/6169/6234/55623/6154/6207/6192/6156/6134/6201/9790/6224/6210/6160/6135/6176/27341/55226/6233/6168/6171/10557/6166/6139/6128/6164/7311/6165/25926/6228/11224/6223/6235/6204/6217/90459/6142/51202/27292/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/27042/84128/23160/6208/54433/51118/2197/114049/6191/9349/6137/6146/6157/6218/81875/55651/6202/6132/10556/6122/1736/6130/6129/57647/11102/6155/9045/6159/10885/6187/6222/3921/6136/88745/6229/23016/6161/92856/4736/705/6189/56902/6175/84916/10436/6147/84135/54555/11103/56915/10799","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72312","R-HSA-72312","rRNA processing",191,-0.469211855026551,-1.73711176841808,0.0050761421319797,0.234088246778602,0.229967734643129,5063,"tags=62%, list=31%, signal=44%","115939/25873/6227/6167/6181/28987/83732/23481/9724/6152/10438/6205/6231/6141/6169/6234/55623/3028/6154/6207/6192/6156/6134/6201/9790/6224/6210/6160/6135/6176/54931/27341/55226/6233/6168/6171/10557/6166/6139/6128/6164/7311/6165/25926/6228/11224/6223/9692/6235/6204/6217/90459/6142/51202/27292/6170/6206/6143/6138/6124/6125/23521/6173/6193/6188/27042/84128/23160/6208/54433/51118/2197/114049/6191/9349/6137/6146/6157/6218/81875/55651/6202/6132/10556/6122/1736/6130/6129/57647/11102/6155/9045/6159/10885/6187/6222/3921/6136/88745/6229/23016/6161/92856/4736/705/6189/56902/387338/6175/84916/10436/6147/84135/79922/54555/11103/56915/10799","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-112043","R-HSA-112043","PLC beta mediated events",37,-0.596241061428776,-1.69449418599742,0.00606060606060606,0.265971606033718,0.261289870639331,2457,"tags=32%, list=15%, signal=28%","1385/156/2781/108/5321/5576/23236/3708/111/107/5153","REACTOME","0"
"../results/DESeq2/V0_over_M0_Wald-test.csv.R-HSA-72662","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",60,-0.532932637298074,-1.69360681326434,0.0062111801242236,0.265971606033718,0.261289870639331,5150,"tags=67%, list=31%, signal=46%","1981/6227/8664/6205/6231/8662/6234/8667/6207/6192/6201/6224/6210/6233/7458/10480/6228/6223/1965/6235/6204/6217/51386/6206/6193/6188/6208/2197/6191/1973/6218/6202/8668/6187/6222/3921/6229/6189/27335","REACTOME","0"
