"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","database","comparison"
"R-HSA-913531","Interferon Signaling",169,0.611949923503405,1.8865141445176,0.00128205128205128,0.38368,0.38368,1809,"tags=20%, list=11%, signal=18%","91543/3434/51191/4939/11274/4600/9636/8638/54739/4599/3437/373856/3119/3433/4940/25939/684/8519/3665/4938/23586/115361/6772/6773/2537/5610/10410/388646/7318/3430/9246/5371/2633/10612","REACTOME","24"
"R-HSA-1169408","ISG15 antiviral mechanism",72,0.639624464517025,1.78702785344219,0.00143061516452074,0.38368,0.38368,1712,"tags=17%, list=10%, signal=15%","3434/51191/11274/4600/9636/4599/373856/23586/6772/5610/7318/9246","REACTOME","24"
"R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes",72,0.639624464517025,1.78702785344219,0.00143061516452074,0.38368,0.38368,1712,"tags=17%, list=10%, signal=15%","3434/51191/11274/4600/9636/4599/373856/23586/6772/5610/7318/9246","REACTOME","24"
"R-HSA-909733","Interferon alpha/beta signaling",52,0.821712611509363,2.21035132819777,0.00146198830409357,0.38368,0.38368,1079,"tags=38%, list=7%, signal=36%","91543/3434/4939/11274/4600/9636/8638/54739/4599/3437/3433/4940/25939/684/8519/3665/4938/6772/6773/2537","REACTOME","24"
"R-HSA-418990","Adherens junctions interactions",27,0.748866173957418,1.76652655775164,0.0016,0.38368,0.38368,2091,"tags=30%, list=13%, signal=26%","1013/1012/1016/1006/23705/1004/64403/1005","REACTOME","24"
"R-HSA-216083","Integrin cell surface interactions",70,0.602509772474397,1.67414248436901,0.00287769784172662,0.536105522021015,0.536105522021015,1823,"tags=29%, list=11%, signal=26%","83700/1297/3695/3371/3681/8174/1285/3683/1299/1300/3690/58494/1287/3680/3684/50509/22801/7450/1311/1294","REACTOME","24"
"R-HSA-936440","Negative regulators of RIG-I/MDA5 signaling",34,0.685208060253708,1.691918025755,0.00312989045383412,0.536105522021015,0.536105522021015,2038,"tags=24%, list=12%, signal=21%","51191/9636/64135/23586/84166/7318/9246/7706","REACTOME","24"
"R-HSA-5635838","Activation of SMO",16,-0.78171691507356,-1.80322391083033,0.00523560209424084,0.784685863874346,0.784685863874346,1196,"tags=31%, list=7%, signal=29%","5727/132884/2121/91653","REACTOME","24"
"R-HSA-1474244","Extracellular matrix organization",227,0.441113178075125,1.40226724596272,0.00610500610500611,0.813322479989147,0.813322479989147,1823,"tags=18%, list=11%, signal=16%","83700/10319/2199/1297/4322/3695/3371/90187/3681/2006/8174/1285/3683/655/1299/2331/1300/5802/284217/3817/3690/4327/58494/1287/2247/3680/3684/50509/1310/22801/7450/84695/388743/3908/1311/283208/64386/8425/85007/1294","REACTOME","24"
"R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",10,-0.82677527147609,-1.79410278720892,0.00759493670886076,0.910632911392405,0.910632911392405,694,"tags=40%, list=4%, signal=38%","7020/93659/7022","REACTOME","24"
"R-HSA-912694","Regulation of IFNA signaling",12,0.774346253989658,1.60799681251786,0.00836120401337793,0.911371237458194,0.911371237458194,1063,"tags=25%, list=6%, signal=23%","11274/6772/6773","REACTOME","24"
"R-HSA-1442490","Collagen degradation",45,0.628052304401657,1.63031382184808,0.00916030534351145,0.915267175572519,0.915267175572519,2869,"tags=40%, list=17%, signal=33%","1297/4322/1285/1299/1300/4327/1287/50509/1310/85007/1294/164656/1290/1302/1277/1513/1291/1292","REACTOME","24"
"R-HSA-168928","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",65,0.564196209154518,1.55937458403347,0.0114122681883024,1,1,2444,"tags=20%, list=15%, signal=17%","51191/9636/64135/79132/3665/23586/177/84166/7318/9246/7706/8517/26007","REACTOME","24"
"R-HSA-181429","Serotonin Neurotransmitter Release Cycle",14,0.752470751290379,1.620694933839,0.0131578947368421,1,1,2556,"tags=64%, list=15%, signal=54%","5864/6853/22999/8224/6571/8497/6804/10815/9256","REACTOME","24"
"R-HSA-73923","Lipid digestion, mobilization, and transport",84,-0.464789783355071,-1.46533740319971,0.0134228187919463,1,1,258,"tags=19%, list=2%, signal=19%","4547/2170/51099/163/340654/2171/5567/5360/857/8029/2173/338/2172/142910/5649","REACTOME","24"
