"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","15/44","69/10561",6.6013069542214e-23,6.93137230193247e-21,6.18438230448111e-21,"RSAD2/IFIT1/OAS2/USP18/MX2/ISG15/OASL/XAF1/MX1/IFIT3/IFIT2/OAS3/SAMHD1/BST2/IFITM1",15
"R-HSA-913531","R-HSA-913531","Interferon Signaling","16/44","196/10561",2.82725321149577e-17,1.48430793603528e-15,1.32434492538486e-15,"RSAD2/IFIT1/HERC5/OAS2/USP18/MX2/ISG15/OASL/XAF1/MX1/IFIT3/IFIT2/OAS3/SAMHD1/BST2/IFITM1",16
"R-HSA-1169408","R-HSA-1169408","ISG15 antiviral mechanism","6/44","71/10561",4.29706144817425e-07,1.12797863014574e-05,1.00641702338818e-05,"IFIT1/HERC5/USP18/MX2/ISG15/MX1",6
"R-HSA-1169410","R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","6/44","71/10561",4.29706144817425e-07,1.12797863014574e-05,1.00641702338818e-05,"IFIT1/HERC5/USP18/MX2/ISG15/MX1",6
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","3/44","92/10561",0.00654605577653679,0.137467171307273,0.122652413497216,"OAS2/OASL/OAS3",3
"R-HSA-936440","R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","2/44","34/10561",0.00874509792878342,0.15303921375371,0.136546265905566,"HERC5/ISG15",2
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","2/44","48/10561",0.0169485446800168,0.254228170200252,0.226830146845337,"CXCL10/CXCL11",2
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","3/44","139/10561",0.0199458978882571,0.261789909783375,0.233576962112485,"SCUBE1/COL9A1/ELN",3
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","4/44","300/10561",0.0355768650308553,0.320842572462742,0.286265553375279,"JAM3/SCUBE1/COL9A1/ELN",4
"R-HSA-425381","R-HSA-425381","Bicarbonate transporters","1/44","10/10561",0.0409073421952179,0.320842572462742,0.286265553375279,"SLC4A5",1
"R-HSA-196791","R-HSA-196791","Vitamin D (calciferol) metabolism","1/44","11/10561",0.0449069703767557,0.320842572462742,0.286265553375279,"LRP2",1
"R-HSA-2468052","R-HSA-2468052","Establishment of Sister Chromatid Cohesion","1/44","11/10561",0.0449069703767557,0.320842572462742,0.286265553375279,"CDCA5",1
"R-HSA-168928","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","2/44","83/10561",0.0466672362075555,0.320842572462742,0.286265553375279,"HERC5/ISG15",2
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","2/44","85/10561",0.0487038497208571,0.320842572462742,0.286265553375279,"JAM3/COL9A1",2
