,n_targets,n_bootstraps,n_processed,n_pseudoaligned,n_unique,Description,TPM
1,3,100,21201315,18,13,V0hA,0.849003941500798
2,3,100,12487455,9,7,V0hB,0.720723317921866
3,3,100,17983129,14,12,V0hC,0.778507455515667
4,3,100,17740970,2,2,M0hA,0.112733407474338
5,3,100,15779313,1,1,M0hB,0.063374115210212
6,3,100,14841330,2,2,M0hC,0.134758812047168
7,3,100,18881997,49,45,V12hA,2.59506449450236
8,3,100,19596201,217,175,V12hB,11.0735749240376
9,3,100,20414122,185,154,V12hC,9.06235399200612
10,3,100,11943038,2,2,M12hA,0.167461578871306
11,3,100,12322839,1,1,M12hB,0.081150131069634
12,3,100,14785301,2,1,M12hC,0.135269481493816
13,3,100,16145587,4393,3530,V24hA,272.08673181099
14,3,100,13510616,11470,9079,V24hB,848.962031042848
15,3,100,15154981,6554,5337,V24hC,432.465075343875
16,3,100,12885232,1,1,M24hA,0.077608226223633
17,3,100,12778321,1,1,M24hB,0.078257542598906
18,3,100,15536125,2,2,M24hC,0.128732228918086
